state;statenum;trend;treated;treated_post;lncase;afdcben;unemp;empratio;mon_d2;mon_d3;mon_d4;caseload;popn;empratio_raw;south;control;T0
AL;1;1;0;0;-4.419635296;2.99000001;9.800000191;-0.844704807;0;0;1;48053;3991569;0.429684162;1;1;117
AL;1;2;0;0;-4.429515362;2.99000001;9.399999619;-0.837153196;0;0;1;47594;3993544;0.432941258;1;1;117
AL;1;3;0;0;-4.426085472;2.99000001;9;-0.83890903;0;0;1;47771;3995518;0.432181746;1;1;117
AL;1;4;0;0;-4.425405979;2.99000001;9.199999809;-0.848248184;0;0;0;47817;3997493;0.428164363;1;1;117
AL;1;5;0;0;-4.426503181;2.99000001;9.199999809;-0.845965266;0;0;0;47778;3999467;0.429142922;1;1;117
AL;1;6;0;0;-4.422502995;2.99000001;8.399999619;-0.840288699;0;0;0;47983;4001442;0.431585908;1;1;117
AL;1;7;0;0;-4.428804398;2.99000001;7.699999809;-0.829561353;1;0;0;47695;4003417;0.436240584;1;1;117
AL;1;8;0;0;-4.436682701;2.99000001;7.199999809;-0.826928318;1;0;0;47334;4005391;0.437390745;1;1;117
AL;1;9;0;0;-4.450019836;2.99000001;8;-0.824154794;1;0;0;46720;4007366;0.438605547;1;1;117
AL;1;10;0;0;-4.455343246;2.99000001;7.599999905;-0.822389364;0;1;0;46485;4009340;0.439380556;1;1;117
AL;1;11;0;0;-4.462682247;2.99000001;7.599999905;-0.829586744;0;1;0;46158;4011315;0.436229527;1;1;117
AL;1;12;0;0;-4.479894638;2.99000001;7.300000191;-0.830444574;0;1;0;45383;4013289;0.435855478;1;1;117
AL;1;13;0;0;-4.472360134;2.99000001;7.300000191;-0.825087607;0;0;1;45739;4015264;0.438196599;1;1;117
AL;1;14;0;0;-4.475459576;2.99000001;6.900000095;-0.822064757;0;0;1;45595;4015979;0.43952322;1;1;117
AL;1;15;0;0;-4.474004269;2.99000001;6.699999809;-0.827537417;0;0;1;45659;4016694;0.437124401;1;1;117
AL;1;16;0;0;-4.475506783;2.99000001;7.400000095;-0.846284688;0;0;0;45588;4017409;0.429005861;1;1;117
AL;1;17;0;0;-4.47582674;2.99000001;7.599999905;-0.845800281;0;0;0;45571;4018124;0.429213732;1;1;117
AL;1;18;0;0;-4.465055943;2.99000001;6.699999809;-0.842110693;0;0;0;46062;4018839;0.430800289;1;1;117
AL;1;19;0;0;-4.471427917;2.99000001;7;-0.841174424;1;0;0;45767;4019554;0.431203812;1;1;117
AL;1;20;0;0;-4.475753307;2.99000001;6.5;-0.840601981;1;0;0;45567;4020269;0.431450725;1;1;117
AL;1;21;0;0;-4.484405041;2.99000001;7.599999905;-0.833259225;1;0;0;45172;4020984;0.434630424;1;1;117
AL;1;22;0;0;-4.493558884;2.99000001;7.300000191;-0.835707188;0;1;0;44758;4021699;0.433567762;1;1;117
AL;1;23;0;0;-4.489112854;2.99000001;7.599999905;-0.848871529;0;1;0;44955;4022414;0.427897513;1;1;117
AL;1;24;0;0;-4.495463848;2.99000001;7.199999809;-0.845273554;0;1;0;44668;4023129;0.429439873;1;1;117
AL;1;25;0;0;-4.49301672;2.920000076;7.400000095;-0.837365091;0;0;1;44775;4023844;0.432849526;1;1;117
AL;1;26;0;0;-4.498512268;2.920000076;7.199999809;-0.822037756;0;0;1;44582;4025879;0.439535081;1;1;117
AL;1;27;0;0;-4.491378307;2.920000076;6.900000095;-0.829450727;0;0;1;44954;4027914;0.436288863;1;1;117
AL;1;28;0;0;-4.496454239;2.920000076;7.599999905;-0.84006232;0;0;0;44779;4029949;0.43168363;1;1;117
AL;1;29;0;0;-4.497226238;2.920000076;7.599999905;-0.835459113;0;0;0;44797;4031984;0.433675319;1;1;117
AL;1;30;0;0;-4.484698296;2.920000076;6.800000191;-0.826581836;0;0;0;45415;4034019;0.437542319;1;1;117
AL;1;31;0;0;-4.494073868;2.920000076;6.900000095;-0.823346257;1;0;0;45044;4036055;0.438960314;1;1;117
AL;1;32;0;0;-4.498915195;2.920000076;6.400000095;-0.819177568;1;0;0;44879;4038090;0.440794051;1;1;117
AL;1;33;0;0;-4.503009796;2.920000076;7.800000191;-0.817587435;1;0;0;44748;4040125;0.441495508;1;1;117
AL;1;34;0;0;-4.508189201;2.920000076;7.400000095;-0.818880737;0;1;0;44569;4042160;0.440924913;1;1;117
AL;1;35;0;0;-4.505730629;2.920000076;7.199999809;-0.823682666;0;1;0;44731;4044195;0.438812673;1;1;117
AL;1;36;0;0;-4.510662556;2.920000076;6.800000191;-0.824543059;0;1;0;44563;4046230;0.438435286;1;1;117
AL;1;37;0;0;-4.506571293;2.970000029;6.800000191;-0.820044339;0;0;1;44798;4048265;0.440412134;1;1;117
AL;1;38;0;0;-4.504779816;2.970000029;6.599999905;-0.815692484;0;0;1;44955;4051756;0.442332894;1;1;117
AL;1;39;0;0;-4.497804165;2.970000029;6.199999809;-0.822665334;0;0;1;45347;4055247;0.43925932;1;1;117
AL;1;40;0;0;-4.49565649;2.970000029;7.099999905;-0.844592452;0;0;0;45522;4058737;0.429732442;1;1;117
AL;1;41;0;0;-4.496371746;2.970000029;7.599999905;-0.847493649;0;0;0;45567;4062228;0.428487509;1;1;117
AL;1;42;0;0;-4.488898277;2.970000029;6.900000095;-0.842772007;0;0;0;45987;4065719;0.430515498;1;1;117
AL;1;43;0;0;-4.500322342;2.970000029;6.5;-0.835443795;1;0;0;45542;4069210;0.433681965;1;1;117
AL;1;44;0;0;-4.499498367;2.970000029;6.099999905;-0.833512545;1;0;0;45657;4072700;0.434520334;1;1;117
AL;1;45;0;0;-4.511034012;2.970000029;7.400000095;-0.834546745;1;0;0;45210;4076191;0.434071183;1;1;117
AL;1;46;0;0;-4.517341614;2.970000029;7;-0.84025079;0;1;0;45002;4079682;0.431602269;1;1;117
AL;1;47;0;0;-4.513782978;2.970000029;7.099999905;-0.848383248;0;1;0;45239;4083173;0.428106517;1;1;117
AL;1;48;0;0;-4.520018101;2.970000029;6.800000191;-0.846347094;0;1;0;45034;4086663;0.428979099;1;1;117
AL;1;49;0;0;-4.508364201;2.980000019;6.800000191;-0.841102421;0;0;1;45639;4090154;0.431234866;1;1;117
AL;1;50;0;0;-4.496857643;2.980000019;6.699999809;-0.835158408;0;0;1;46225;4094162;0.433805734;1;1;117
AL;1;51;0;0;-4.498020172;2.980000019;6.400000095;-0.83948046;0;0;1;46229;4098171;0.431934893;1;1;117
AL;1;52;0;0;-4.479776382;2.980000019;7.599999905;-0.859491229;0;0;0;47139;4102179;0.423377424;1;1;117
AL;1;53;0;0;-4.476495266;2.980000019;8.100000381;-0.860711396;0;0;0;47353;4106187;0.422861159;1;1;117
AL;1;54;0;0;-4.466235638;2.980000019;7.300000191;-0.852926195;0;0;0;47901;4110196;0.426166058;1;1;117
AL;1;55;0;0;-4.464958668;2.980000019;7.300000191;-0.848063409;1;0;0;48022;4114204;0.428243458;1;1;117
AL;1;56;0;0;-4.462836266;2.980000019;6.800000191;-0.845096827;1;0;0;48184;4118212;0.429515779;1;1;117
AL;1;57;0;0;-4.468113899;2.980000019;7.900000095;-0.844537199;1;0;0;47990;4122221;0.429756194;1;1;117
AL;1;58;0;0;-4.467962265;2.980000019;7.300000191;-0.846704185;0;1;0;48057;4126229;0.428825945;1;1;117
AL;1;59;0;0;-4.460791588;2.980000019;7.199999809;-0.851630449;0;1;0;48463;4130237;0.426718622;1;1;117
AL;1;60;0;0;-4.46372509;2.980000019;6.699999809;-0.84749639;0;1;0;48381;4134246;0.428486347;1;1;117
AL;1;61;0;0;-4.442120075;3.190000057;6.900000095;-0.838181257;0;0;1;49499;4138254;0.432496399;1;1;117
AL;1;62;0;0;-4.439133644;3.190000057;6.800000191;-0.831214309;0;0;1;49735;4142780;0.435520113;1;1;117
AL;1;63;0;0;-4.431257248;3.190000057;6.900000095;-0.83344835;0;0;1;50217;4147305;0.434548229;1;1;117
AL;1;64;0;0;-4.425465584;3.190000057;7.699999809;-0.848369718;0;0;0;50598;4151831;0.428112328;1;1;117
AL;1;65;0;0;-4.418061733;3.190000057;8;-0.846734047;0;0;0;51064;4156356;0.42881313;1;1;117
AL;1;66;0;0;-4.415409088;3.190000057;7.199999809;-0.838236034;0;0;0;51290;4160882;0.432472736;1;1;117
AL;1;67;0;0;-4.420529842;3.190000057;7.300000191;-0.831660092;1;0;0;51118;4165407;0.43532601;1;1;117
AL;1;68;0;0;-4.428058147;3.190000057;7;-0.827752233;1;0;0;50824;4169933;0.437030524;1;1;117
AL;1;69;0;0;-4.432614326;3.190000057;8.300000191;-0.828644216;1;0;0;50682;4174458;0.436640888;1;1;117
AL;1;70;0;0;-4.429922104;3.190000057;7.599999905;-0.831183851;0;1;0;50908;4178984;0.435533375;1;1;117
AL;1;71;0;0;-4.430027485;3.190000057;7.5;-0.834510207;0;1;0;50992;4183509;0.434087038;1;1;117
AL;1;72;0;0;-4.438550472;3.190000057;7.099999905;-0.835870206;0;1;0;50648;4188035;0.433497101;1;1;117
AL;1;73;0;0;-4.423658848;3.200000048;7.199999809;-0.824562788;0;0;1;51498;4192560;0.438426644;1;1;117
AL;1;74;0;0;-4.431488037;3.200000048;7;-0.819321156;0;0;1;51155;4195877;0.440730751;1;1;117
AL;1;75;0;0;-4.423642635;3.200000048;6.900000095;-0.822749436;0;0;1;51617;4199194;0.439222395;1;1;117
AL;1;76;0;0;-4.419127941;3.200000048;7.800000191;-0.841974199;0;0;0;51910;4202511;0.430859089;1;1;117
AL;1;77;0;0;-4.418155193;3.200000048;8;-0.840479672;0;0;0;52020;4205827;0.431503475;1;1;117
AL;1;78;0;0;-4.413815498;3.200000048;7.300000191;-0.835128784;0;0;0;52306;4209144;0.433818609;1;1;117
AL;1;79;0;0;-4.421575546;3.200000048;7.599999905;-0.827259719;1;0;0;51961;4212461;0.437245816;1;1;117
AL;1;80;0;0;-4.43085289;3.200000048;7.199999809;-0.826567352;1;0;0;51540;4215778;0.437548667;1;1;117
AL;1;81;0;0;-4.436076641;3.200000048;8.699999809;-0.825874984;1;0;0;51330;4219095;0.437851727;1;1;117
AL;1;82;0;0;-4.44065237;3.200000048;8.399999619;-0.828891397;0;1;0;51154;4222412;0.436532944;1;1;117
